code,name,districtCode
448,Xã Đồng Phú,26
449,Xã Trần Phú,26
450,Xã Văn Võ,26
451,Xã Đồng Lạc,26
452,Xã Hòa Chính,26
453,Xã Phú Nam An,26
454,Thị trấn Kim Bài,27
455,Xã Cự Khê,27
456,Xã Bích Hòa,27
457,Xã Mỹ Hưng,27
458,Xã Cao Viên,27
459,Xã Bình Minh,27
460,Xã Tam Hưng,27
461,Xã Thanh Cao,27
462,Xã Thanh Thùy,27
463,Xã Thanh Mai,27
464,Xã Thanh Văn,27
465,Xã Đỗ Động,27
466,Xã Kim An,27
467,Xã Kim Thư,27
468,Xã Phương Trung,27
469,Xã Tân Ước,27
470,Xã Dân Hòa,27
471,Xã Liên Châu,27
472,Xã Cao Dương,27
473,Xã Xuân Dương,27
474,Xã Hồng Dương,27
475,Thị trấn Thường Tín,28
476,Xã Ninh Sở,28
477,Xã Nhị Khê,28
478,Xã Duyên Thái,28
479,Xã Khánh Hà,28
480,Xã Hòa Bình,28
481,Xã Văn Bình,28
482,Xã Hiền Giang,28
483,Xã Hồng Vân,28
484,Xã Vân Tảo,28
485,Xã Liên Phương,28
486,Xã Văn Phú,28
487,Xã Tự Nhiên,28
488,Xã Tiền Phong,28
489,Xã Hà Hồi,28
490,Xã Thư Phú,28
491,Xã Nguyễn Trãi,28
492,Xã Quất Động,28
493,Xã Chương Dương,28
494,Xã Tân Minh,28
495,Xã Lê Lợi,28
496,Xã Thắng Lợi,28
497,Xã Dũng Tiến,28
498,Xã Thống Nhất,28
499,Xã Nghiêm Xuyên,28
500,Xã Tô Hiệu,28
501,Xã Văn Tự,28
502,Xã Vạn Điểm,28
503,Xã Minh Cường,28
504,Thị trấn Phú Minh,29
505,Thị trấn Phú Xuyên,29
506,Xã Hồng Minh,29
507,Xã Phượng Dực,29
508,Xã Nam Tiến,29
509,Xã Tri Trung,29
510,Xã Đại Thắng,29
511,Xã Phú Túc,29
512,Xã Văn Hoàng,29
513,Xã Hồng Thái,29
514,Xã Hoàng Long,29
515,Xã Quang Trung,29
516,Xã Nam Phong,29
517,Xã Nam Triều,29
518,Xã Tân Dân,29
519,Xã Sơn Hà,29
520,Xã Chuyên Mỹ,29
521,Xã Khai Thái,29
522,Xã Phúc Tiến,29
523,Xã Vân Từ,29
524,Xã Tri Thủy,29
525,Xã Đại Xuyên,29
526,Xã Phú Yên,29
527,Xã Bạch Hạ,29
528,Xã Quang Lãng,29
529,Xã Châu Can,29
530,Xã Minh Tân,29
531,Thị trấn Vân Đình,30
532,Xã Viên An,30
533,Xã Viên Nội,30
534,Xã Hoa Sơn,30
535,Xã Quảng Phú Cầu,30
536,Xã Trường Thịnh,30
537,Xã Cao Thành,30
538,Xã Liên Bạt,30
539,Xã Sơn Công,30
540,Xã Đồng Tiến,30
541,Xã Phương Tú,30
542,Xã Trung Tú,30
543,Xã Đồng Tân,30
544,Xã Tảo Dương Văn,30
545,Xã Vạn Thái,30
546,Xã Minh Đức,30
547,Xã Hòa Lâm,30
548,Xã Hòa Xá,30
549,Xã Trầm Lộng,30
550,Xã Kim Đường,30
551,Xã Hòa Nam,30
552,Xã Hòa Phú,30
553,Xã Đội Bình,30
554,Xã Đại Hùng,30
555,Xã Đông Lỗ,30
556,Xã Phù Lưu,30
557,Xã Đại Cường,30
558,Xã Lưu Hoàng,30
559,Xã Hồng Quang,30
560,Thị trấn Đại Nghĩa,31
561,Xã Đồng Tâm,31
562,Xã Thượng Lâm,31
563,Xã Tuy Lai,31
564,Xã Phúc Lâm,31
565,Xã Mỹ Thành,31
566,Xã Bột Xuyên,31
567,Xã An Mỹ,31
568,Xã Hồng Sơn,31
569,Xã Lê Thanh,31
570,Xã Xuy Xá,31
571,Xã Phùng Xá,31
572,Xã Phù Lưu Tế,31
573,Xã Đại Hưng,31
574,Xã Vạn Kim,31
575,Xã Đốc Tín,31
576,Xã Hương Sơn,31
577,Xã Hùng Tiến,31
578,Xã An Tiến,31
579,Xã Hợp Tiến,31
580,Xã Hợp Thanh,31
581,Xã An Phú,31
582,Phường Quang Trung,32
583,Phường Trần Phú,32
584,Phường Ngọc Hà,32
585,Phường Nguyễn Trãi,32
586,Phường Minh Khai,32
587,Xã Ngọc Đường,32
588,Xã Phương Độ,32
589,Xã Phương Thiện,32
590,Thị trấn Phó Bảng,33
591,Xã Lũng Cú,33
592,Xã Má Lé,33
593,Thị trấn Đồng Văn,33
594,Xã Lũng Táo,33
595,Xã Phố Là,33
596,Xã Thài Phìn Tủng,33
597,Xã Sủng Là,33
598,Xã Xà Phìn,33
599,Xã Tả Phìn,33
600,Xã Tả Lủng,33
601,Xã Phố Cáo,33
602,Xã Sính Lủng,33
603,Xã Sảng Tủng,33
604,Xã Lũng Thầu,33
605,Xã Hố Quáng Phìn,33
606,Xã Vần Chải,33
607,Xã Lũng Phìn,33
608,Xã Sủng Trái,33
609,Thị trấn Mèo Vạc,34
610,Xã Thượng Phùng,34
611,Xã Pải Lủng,34
612,Xã Xín Cái,34
613,Xã Pả Vi,34
614,Xã Giàng Chu Phìn,34
615,Xã Sủng Trà,34
616,Xã Sủng Máng,34
617,Xã Sơn Vĩ,34
618,Xã Tả Lủng,34
619,Xã Cán Chu Phìn,34
620,Xã Lũng Pù,34
621,Xã Lũng Chinh,34
622,Xã Tát Ngà,34
623,Xã Nậm Ban,34
624,Xã Khâu Vai,34
625,Xã Niêm Tòng,34
626,Xã Niêm Sơn,34
627,Thị trấn Yên Minh,35
628,Xã Thắng Mố,35
629,Xã Phú Lũng,35
630,Xã Sủng Tráng,35
631,Xã Bạch Đích,35
632,Xã Na Khê,35
633,Xã Sủng Thài,35
634,Xã Hữu Vinh,35
635,Xã Lao Và Chải,35
636,Xã Mậu Duệ,35
637,Xã Đông Minh,35
638,Xã Mậu Long,35
639,Xã Ngam La,35
640,Xã Ngọc Long,35
641,Xã Đường Thượng,35
642,Xã Lũng Hồ,35
643,Xã Du Tiến,35
644,Xã Du Già,35
645,Thị trấn Tam Sơn,36
646,Xã Bát Đại Sơn,36
647,Xã Nghĩa Thuận,36
648,Xã Cán Tỷ,36
649,Xã Cao Mã Pờ,36
650,Xã Thanh Vân,36
651,Xã Tùng Vài,36
652,Xã Đông Hà,36
653,Xã Quản Bạ,36
654,Xã Lùng Tám,36
655,Xã Quyết Tiến,36
656,Xã Tả Ván,36
657,Xã Thái An,36
658,Xã Kim Thạch,37
659,Xã Phú Linh,37
660,Xã Kim Linh,37
661,Thị trấn Vị Xuyên,37
662,Thị trấn Nông Trường Việt Lâm,37
663,Xã Minh Tân,37
664,Xã Thuận Hòa,37
665,Xã Tùng Bá,37
666,Xã Thanh Thủy,37
667,Xã Thanh Đức,37
668,Xã Phong Quang,37
669,Xã Xín Chải,37
670,Xã Phương Tiến,37
671,Xã Lao Chải,37
672,Xã Cao Bồ,37
673,Xã Đạo Đức,37
674,Xã Thượng Sơn,37
675,Xã Linh Hồ,37
676,Xã Quảng Ngần,37
677,Xã Việt Lâm,37
678,Xã Ngọc Linh,37
679,Xã Ngọc Minh,37
680,Xã Bạch Ngọc,37
681,Xã Trung Thành,37
682,Xã Minh Sơn,38
683,Xã Giáp Trung,38
684,Xã Yên Định,38
685,Thị trấn Yên Phú,38
686,Xã Minh Ngọc,38
687,Xã Yên Phong,38
688,Xã Lạc Nông,38
689,Xã Phú Nam,38
690,Xã Yên Cường,38
691,Xã Thượng Tân,38
692,Xã Đường Âm,38
693,Xã Đường Hồng,38
694,Xã Phiêng Luông,38
695,Thị trấn Vinh Quang,39
696,Xã Bản Máy,39
697,Xã Thàng Tín,39
698,Xã Thèn Chu Phìn,39
699,Xã Pố Lồ,39
700,Xã Bản Phùng,39
701,Xã Túng Sán,39
702,Xã Chiến Phố,39
703,Xã Đản Ván,39
704,Xã Tụ Nhân,39
705,Xã Tân Tiến,39
706,Xã Nàng Đôn,39
707,Xã Pờ Ly Ngài,39
708,Xã Sán Xả Hồ,39
709,Xã Bản Luốc,39
710,Xã Ngàm Đăng Vài,39
711,Xã Bản Nhùng,39
712,Xã Tả Sử Choóng,39
713,Xã Nậm Dịch,39
714,Xã Hồ Thầu,39
715,Xã Nam Sơn,39
716,Xã Nậm Tỵ,39
717,Xã Thông Nguyên,39
718,Xã Nậm Khòa,39
719,Thị trấn Cốc Pài,40
720,Xã Nàn Xỉn,40
721,Xã Bản Díu,40
722,Xã Chí Cà,40
723,Xã Xín Mần,40
724,Xã Thèn Phàng,40
725,Xã Trung Thịnh,40
726,Xã Pà Vầy Sủ,40
727,Xã Cốc Rế,40
728,Xã Thu Tà,40
729,Xã Nàn Ma,40
730,Xã Tả Nhìu,40
731,Xã Bản Ngò,40
732,Xã Chế Là,40
733,Xã Nấm Dẩn,40
734,Xã Quảng Nguyên,40
735,Xã Nà Chì,40
736,Xã Khuôn Lùng,40
737,Thị trấn Việt Quang,41
738,Thị trấn Vĩnh Tuy,41
739,Xã Tân Lập,41
740,Xã Tân Thành,41
741,Xã Đồng Tiến,41
742,Xã Đồng Tâm,41
743,Xã Tân Quang,41
744,Xã Thượng Bình,41
745,Xã Hữu Sản,41
746,Xã Kim Ngọc,41
747,Xã Việt Vinh,41
748,Xã Bằng Hành,41
749,Xã Quang Minh,41
750,Xã Liên Hiệp,41
751,Xã Vô Điếm,41
752,Xã Việt Hồng,41
753,Xã Hùng An,41
754,Xã Đức Xuân,41
755,Xã Tiên Kiều,41
756,Xã Vĩnh Hảo,41
757,Xã Vĩnh Phúc,41
758,Xã Đồng Yên,41
759,Xã Đông Thành,41
760,Xã Xuân Minh,42
761,Xã Tiên Nguyên,42
762,Xã Tân Nam,42
763,Xã Bản Rịa,42
764,Xã Yên Thành,42
765,Thị trấn Yên Bình,42
766,Xã Tân Trịnh,42
767,Xã Tân Bắc,42
768,Xã Bằng Lang,42
769,Xã Yên Hà,42
770,Xã Hương Sơn,42
771,Xã Xuân Giang,42
772,Xã Nà Khương,42
773,Xã Tiên Yên,42
774,Xã Vĩ Thượng,42
775,Phường Sông Hiến,43
776,Phường Sông Bằng,43
777,Phường Hợp Giang,43
778,Phường Tân Giang,43
779,Phường Ngọc Xuân,43
780,Phường Đề Thám,43
