code,name,provinceCode
285,Huyện Thiệu Hóa,39
286,Huyện Hoằng Hóa,39
287,Huyện Hậu Lộc,39
288,Huyện Nga Sơn,39
289,Huyện Như Xuân,39
290,Huyện Như Thanh,39
291,Huyện Nông Cống,39
292,Huyện Đông Sơn,39
293,Huyện Quảng Xương,39
294,Thị xã Nghi Sơn,39
295,Thành phố Vinh,40
296,Thị xã Cửa Lò,40
297,Thị xã Thái Hoà,40
298,Huyện Quế Phong,40
299,Huyện Quỳ Châu,40
300,Huyện Kỳ Sơn,40
301,Huyện Tương Dương,40
302,Huyện Nghĩa Đàn,40
303,Huyện Quỳ Hợp,40
304,Huyện Quỳnh Lưu,40
305,Huyện Con Cuông,40
306,Huyện Tân Kỳ,40
307,Huyện Anh Sơn,40
308,Huyện Diễn Châu,40
309,Huyện Yên Thành,40
310,Huyện Đô Lương,40
311,Huyện Thanh Chương,40
312,Huyện Nghi Lộc,40
313,Huyện Nam Đàn,40
314,Huyện Hưng Nguyên,40
315,Thị xã Hoàng Mai,40
316,Thành phố Hà Tĩnh,41
317,Thị xã Hồng Lĩnh,41
318,Huyện Hương Sơn,41
319,Huyện Đức Thọ,41
320,Huyện Vũ Quang,41
321,Huyện Nghi Xuân,41
322,Huyện Can Lộc,41
323,Huyện Hương Khê,41
324,Huyện Thạch Hà,41
325,Huyện Cẩm Xuyên,41
326,Huyện Kỳ Anh,41
327,Huyện Lộc Hà,41
328,Thị xã Kỳ Anh,41
329,Thành Phố Đồng Hới,42
330,Huyện Minh Hóa,42
331,Huyện Tuyên Hóa,42
332,Huyện Quảng Trạch,42
333,Huyện Bố Trạch,42
334,Huyện Quảng Ninh,42
335,Huyện Lệ Thủy,42
336,Thị xã Ba Đồn,42
337,Thành phố Đông Hà,43
338,Thị xã Quảng Trị,43
339,Huyện Vĩnh Linh,43
340,Huyện Hướng Hóa,43
341,Huyện Gio Linh,43
342,Huyện Đa Krông,43
343,Huyện Cam Lộ,43
344,Huyện Triệu Phong,43
345,Huyện Hải Lăng,43
346,Huyện Cồn Cỏ,43
347,Thành phố Huế,44
348,Huyện Phong Điền,44
349,Huyện Quảng Điền,44
350,Huyện Phú Vang,44
351,Thị xã Hương Thủy,44
352,Thị xã Hương Trà,44
353,Huyện A Lưới,44
354,Huyện Phú Lộc,44
355,Huyện Nam Đông,44
356,Quận Liên Chiểu,45
357,Quận Thanh Khê,45
358,Quận Hải Châu,45
359,Quận Sơn Trà,45
360,Quận Ngũ Hành Sơn,45
361,Quận Cẩm Lệ,45
362,Huyện Hòa Vang,45
363,Huyện Hoàng Sa,45
364,Thành phố Tam Kỳ,46
365,Thành phố Hội An,46
366,Huyện Tây Giang,46
367,Huyện Đông Giang,46
368,Huyện Đại Lộc,46
369,Thị xã Điện Bàn,46
370,Huyện Duy Xuyên,46
371,Huyện Quế Sơn,46
372,Huyện Nam Giang,46
373,Huyện Phước Sơn,46
374,Huyện Hiệp Đức,46
375,Huyện Thăng Bình,46
376,Huyện Tiên Phước,46
377,Huyện Bắc Trà My,46
378,Huyện Nam Trà My,46
379,Huyện Núi Thành,46
380,Huyện Phú Ninh,46
381,Huyện Nông Sơn,46
382,Thành phố Quảng Ngãi,47
383,Huyện Bình Sơn,47
384,Huyện Trà Bồng,47
385,Huyện Sơn Tịnh,47
386,Huyện Tư Nghĩa,47
387,Huyện Sơn Hà,47
388,Huyện Sơn Tây,47
389,Huyện Minh Long,47
390,Huyện Nghĩa Hành,47
391,Huyện Mộ Đức,47
392,Thị xã Đức Phổ,47
393,Huyện Ba Tơ,47
394,Huyện Lý Sơn,47
395,Thành phố Quy Nhơn,48
396,Thị xã Hoài Nhơn,48
397,Huyện Hoài Ân,48
398,Huyện Phù Mỹ,48
399,Huyện Vĩnh Thạnh,48
400,Huyện Tây Sơn,48
401,Huyện Phù Cát,48
402,Thị xã An Nhơn,48
403,Huyện Tuy Phước,48
404,Huyện Vân Canh,48
691,Huyện An Lão,48
405,Thành phố Tuy Hoà,49
406,Thị xã Sông Cầu,49
407,Huyện Đồng Xuân,49
408,Huyện Tuy An,49
409,Huyện Sơn Hòa,49
410,Huyện Sông Hinh,49
411,Huyện Tây Hoà,49
412,Huyện Phú Hoà,49
413,Thị xã Đông Hòa,49
414,Thành phố Nha Trang,50
415,Thành phố Cam Ranh,50
416,Huyện Cam Lâm,50
417,Huyện Vạn Ninh,50
418,Thị xã Ninh Hòa,50
419,Huyện Khánh Vĩnh,50
420,Huyện Diên Khánh,50
421,Huyện Khánh Sơn,50
422,Huyện Trường Sa,50
423,Thành phố Phan Rang-Tháp Chàm,51
424,Huyện Bác Ái,51
425,Huyện Ninh Sơn,51
426,Huyện Ninh Hải,51
427,Huyện Ninh Phước,51
